id,Co(tapp)_precursor,TPA_substitution,Acid_pKa,Additive,Solvent2,solvent_1_name,Vessel,Degas,Temp_degC,TPA_eq,H2O_per_TPA,TAPP_conc_mM,Acid_conc_M,Solvent2_fraction,m-DNB,main_product
KE-274,Co(tdpp),F2,8.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.0030075187969925,89.73013493253373,20.0,1.2,0.25080906148867316,True,Co(tapp)
KE-282,Co(III)(tdpp),none,10.8,none,none,"1,4-dioxane",Schlenk bomb,True,150.0,2.03072625698324,20.581155433287485,22.0,0.6,0.0,True,Co(tapp)nXm
KE-286,Co(tdpp),none,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,2.0073260073260073,22.48102189781022,20.0,0.6,0.25037481259370314,False,COF-366-Co
KE-287,Co(tdpp),none,10.8,none,o-DCB,"1,4-dioxane",Schlenk bomb,True,120.0,1.004441154700222,89.5593220338983,20.0,0.6,0.25037481259370314,False,Co(tapp)
KE-288,Co(tdpp),C8H4Br2O2,8.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0082028337061892,57.286669142220575,20.0,1.2,0.25080906148867316,True,MOCOF-1
KE-291,Co(tdpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.9980053191489364,89.9351081530782,22.0,0.7,0.25037481259370314,False,Co(tapp)
KE-295,Co(tdpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.4999999999999998,120.0,20.0,0.6,0.25037481259370314,False,Co(tapp)
KE-296,Co(tdpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,90.0,10.0,0.6,0.24981245311327832,False,Co(tapp)
KE-297,Co(tdpp),none,10.8,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,150.0,1.4999999999999998,120.0,20.0,0.6,0.25037481259370314,False,Co(tapp)
KE-309,Co(tdpp),none,7.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,45.0,20.0,1.2,0.25080892219389816,True,MOCOF-1
KE-312,Co(tdpp),none,8.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.8887218045112781,47.651273885350314,20.0,1.2,0.25080906148867316,True,MOCOF-1
KE-313,Co(tdpp),none,11.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,1.3225563909774436,34.02501421262081,4.0,0.3,0.3749531308586427,False,Co(tapp)
KE-326,Co(tdpp),none,8.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0,45.0,20.0,1.2,0.2507424073746248,True,MOCOF-1
KE-339,Co(tdpp),none,11.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0116624742739537,23.40366033875185,20.0,0.6,0.2498812351543943,False,COF-366-Co
KE-340,Co(tdpp),none,8.0,none,PhNO2,"1,4-dioxane",Schlenk bomb,True,120.0,2.0116624742739537,45.10412640672957,20.0,1.3,0.25076923076923074,True,MOCOF-1
